Unique System Identifier,Call Sign,Overall Height of Structure,Latitude,Longitude
12700,KNKA672,57.9,37.89288888888889,-86.96466666666667
12700,KNKA672,60.0,37.68733333333333,-86.8876388888889
12700,KNKA672,60.7,37.846333333333334,-87.31524999999999
12700,KNKA672,99.1,37.846722222222226,-87.01211111111111
12701,KNKN748,59.4,36.82216666666667,-86.67505555555556
12701,KNKN748,109.4,36.7835,-86.28677777777777
12701,KNKN748,96.3,37.95169444444445,-86.4106388888889
12701,KNKN748,123.4,37.239472222222226,-86.26658333333333
12701,KNKN748,152.1,37.871611111111115,-86.26763888888888
12701,KNKN748,114.3,36.70238888888889,-86.55527777777777
12701,KNKN748,87.8,36.83141666666667,-86.91441666666667
12701,KNKN748,94.5,37.10375,-86.19219444444445
12701,KNKN748,81.1,37.983694444444446,-86.15797222222223
12701,KNKN748,93.0,37.54872222222222,-87.26816666666666
12701,KNKN748,66.4,37.39925,-87.2363888888889
12701,KNKN748,60.7,36.742333333333335,-87.05611111111111
12701,KNKN748,74.7,36.742666666666665,-86.50158333333333
12701,KNKN748,64.6,37.56166666666666,-87.10944444444443
12701,KNKN748,65.6,37.895833333333336,-86.83083333333333
12701,KNKN748,59.4,37.94777777777777,-85.99383333333333
12701,KNKN748,59.7,36.84152777777778,-87.13216666666666
12701,KNKN748,96.9,37.24261111111111,-87.33274999999999
12701,KNKN748,99.1,37.07005555555556,-86.08530555555555
12701,KNKN748,83.8,37.49333333333333,-86.18791666666667
12701,KNKN748,77.7,37.949888888888886,-86.08272222222222
12701,KNKN748,72.8,37.60180555555556,-87.39822222222223
12701,KNKN748,103.9,38.00233333333333,-86.32230555555554
12701,KNKN748,91.1,36.78638888888889,-86.1431388888889
12701,KNKN748,84.7,36.99622222222222,-87.14011111111112
12701,KNKN748,46.9,36.658055555555556,-87.18225000000001
12702,KNKN947,96.3,35.19152777777777,-86.8778611111111
12702,KNKN947,107.0,35.025277777777774,-86.8766111111111
12702,KNKN947,89.9,35.427166666666665,-87.03794444444445
